Property Name,Rent Prices,Room size,Floor,Date
NOBLE STATE 39,30000,35,11-20,2023-09-24 14:25:00
Plum Condo Sukhumvit 97.1,10000,27,1-10,2023-09-24 14:25:00
IDEO Tha Phra Interchange,15000,34.6,11-20,2023-09-24 14:25:00
Ashton Asoke - Rama 9,35000,44,21-30,2023-09-24 14:25:00
Supalai Veranda Ramkhamhaeng,12500,30,21-30,2023-09-24 14:25:00
IDEO O2,9500,26.5,21-30,2023-09-24 14:25:00
Bangkok Horizon Ratchada - Thapra,13000,28.5,21-30,2023-09-24 14:25:00
Rhythm Sathorn,23000,45,1-10,2023-09-24 14:25:00
Na Vara Residence,50000,60,1-10,2023-09-24 14:25:00
One9Five Asoke - Rama 9,26000,36,31-40,2023-09-24 14:25:00
The Met Sathorn,300000,366,51-60,2023-09-24 14:25:00
Life Asoke Hype,18000,26,1-10,2023-09-24 14:25:00
PARK ORIGIN THONGLOR,60000,45,41-50,2023-09-24 14:25:00
THE PRIVACY S101,13000,28,1-10,2023-09-24 14:25:00
Miti Chiva Kaset Station,20000,35,11-20,2023-09-24 14:25:00
Noble Ambience Sarasin,22000,48,1-10,2023-09-24 14:25:00
Life One Wireless,50000,63,21-30,2023-09-24 14:25:00
The Lumpini 24,50000,55,1-10,2023-09-24 14:25:00
Atmoz Ladprao 15,9500,25,1-10,2023-09-24 14:25:00
Life One Wireless,40000,48,11-20,2023-09-24 14:25:00
Rise Rama 9,12000,28.9,1-10,2023-09-24 14:25:00
Life Sukhumvit 62,13000,25,11-20,2023-09-24 14:25:00
IDEO Mix Sukhumvit 103,13000,30,11-20,2023-09-24 14:25:00
The Tree RIO Bang - Aor Station,7800,30,1-10,2023-09-24 14:25:00
The Esse at Singha Complex,30000,35.8,11-20,2023-09-24 14:25:00
MARQUE Sukhumvit,170000,135,21-30,2023-09-24 14:25:00
Life Asoke - Rama 9,35000,58,21-30,2023-09-24 14:25:00
Atmoz Bangna,12000,27.4,1-10,2023-09-24 14:25:00
Noble Ora Thonglor,55000,115,1-10,2023-09-24 14:25:00
Niche Pride Thonglor-Phetchaburi,22000,34.8,21-30,2023-09-24 14:25:00
Life Asoke - Rama 9,28000,41,31-40,2023-09-24 14:25:00
Artemis Sukhumvit 77,14500,37,21-30,2023-09-24 14:25:00
RHYTHM CHAROENKRUNG PAVILLION,28000,37,31-40,2023-09-24 14:25:00
Niche Mono Sukhumvit - Bearing,11000,29,21-30,2023-09-24 14:25:00
Knightsbridge Prime Sathorn,25000,31,11-20,2023-09-24 14:25:00
The Origin Ratchada - Ladprao,14500,29,1-10,2023-09-24 14:25:00
Noble Ploenchit,90000,82,31-40,2023-09-24 14:25:00
Metro Luxe Ratchada,18000,37,1-10,2023-09-24 14:25:00
Blossom Condo @ Fashion,12000,35,11-20,2023-09-24 14:25:00
NOBLE STATE 39,32000,30,21-30,2023-09-24 14:25:00
Lumpini Park Vibhavadi - Chatuchak,14000,30,1-10,2023-09-24 14:25:00
28 Chidlom,50000,46.7,11-20,2023-09-24 14:25:00
Centric Huai Khwang Station,15500,27,1-10,2023-09-24 14:25:00
PARK ORIGIN PHROM PHONG,18000,24,31-40,2023-09-24 14:25:00
Q Langsuan,67500,74,21-30,2023-09-24 14:25:00
Wish Signature  Midtown Siam,18000,27,1-10,2023-09-24 14:25:00
Life Asoke,20000,35,11-20,2023-09-24 14:25:00
Niche Mono Ramkhamhaeng,11000,28.9,31-40,2023-09-24 14:25:00
Rhythm Rangnam,22000,28,21-30,2023-09-24 14:25:00
Rhythm Asoke,13000,24,31-40,2023-09-24 14:25:00
Lumpini Suite Phetchaburi - Makkasan,25000,41,21-30,2023-09-24 14:25:00
Bangkok Horizon Ratchada - Thapra,11000,33.7,11-20,2023-09-24 14:25:00
Life @ Ladprao 18,20000,45,31-40,2023-09-24 14:25:00
Knightsbridge Phaholyothin Interchange,35000,53.8,11-20,2023-09-24 14:25:00
Rhythm Sukhumvit 42,35000,45,31-40,2023-09-24 14:25:00
Rhythm Sukhumvit 36 - 38,22000,33,11-20,2023-09-24 14:25:00
Casa Condo Ratchada - Thapra,9000,26,1-10,2023-09-24 14:25:00
FYNN Asoke,30000,41,1-10,2023-09-24 14:25:00
The Room Sathorn - St.Louis,23000,34.9,21-30,2023-09-24 14:25:00
Belle Grand Rama 9,140000,233,1-10,2023-09-24 14:24:00
Magnolias Ratchadamri Boulevard,120000,100,31-40,2023-09-24 14:24:00
Supalai Park Phaholyothin,50000,220,11-20,2023-09-24 14:24:00
The Reserve Sukhumvit 61,55000,50,1-10,2023-09-24 14:24:00
City Home Sukhumvit,7500,30,1-10,2023-09-24 14:24:00
Belle Grand Rama 9,140000,241,1-10,2023-09-24 14:24:00
IDEO Mobi Sukhumvit,35000,61,21-30,2023-09-24 14:24:00
IDEO Sathorn - Taksin,14000,31,11-20,2023-09-24 14:24:00
THE BASE Saphanmai,12000,28,1-10,2023-09-24 14:24:00
Knightsbridge Skycity Saphanmai,9000,24,1-10,2023-09-24 14:24:00
The Tempo Grand Sathorn - Wutthakat,15500,35,21-30,2023-09-24 14:24:00
59 Heritage,17000,38,11-20,2023-09-24 14:24:00
Mirage Sukhumvit 27,42000,66,1-10,2023-09-24 14:24:00
Metro Luxe Rama 4,13000,28,1-10,2023-09-24 14:24:00
IDEO Q Ratchathewi,20000,35,21-30,2023-09-24 14:24:00
Life One Wireless,24000,35,11-20,2023-09-24 14:24:00
Life Asoke - Rama 9,18000,27,21-30,2023-09-24 14:24:00
Life Asoke,18000,30,11-20,2023-09-24 14:24:00
Whizdom Inspire Sukhumvit,28000,48,21-30,2023-09-24 14:24:00
IDEO Mobi Rama 9,24000,55,11-20,2023-09-24 14:24:00
Life One Wireless,20000,28,11-20,2023-09-24 14:24:00
The Aree Condominium,15000,47,1-10,2023-09-24 14:24:00
Whizdom Essence Sukhumvit,35000,53,31-40,2023-09-24 14:24:00
The Room Sukhumvit 62,20000,46,11-20,2023-09-24 14:24:00
The Room Sukhumvit 21,36000,50,1-10,2023-09-24 14:24:00
The Seed Memories Siam,20000,37,1-10,2023-09-24 14:24:00
Ashton Asoke,25000,33,21-30,2023-09-24 14:24:00
Noble BE 19,26000,34,11-20,2023-09-24 14:24:00
The Excel Hideaway Sukhumvit 50,13000,30,1-10,2023-09-24 14:24:00
C Ekkamai,15000,31,11-20,2023-09-24 14:24:00
Life Ratchadapisek,27000,65,1-10,2023-09-24 14:24:00
Noble Ambience Sarasin,36000,56,1-10,2023-09-24 14:24:00
Lumpini Selected Charan 65 - Sirindhorn Station,10000,23,1-10,2023-09-24 14:24:00
The Saint Residences,22000,37,11-20,2023-09-24 14:24:00
Noble RE D,30000,56,11-20,2023-09-24 14:24:00
Wind Sukhumvit 23,250000,342,21-30,2023-09-24 14:24:00
The XXXIX by Sansiri,80000,76,11-20,2023-09-24 14:23:00
Hive Sukhumvit 65,17000,40,1-10,2023-09-24 14:23:00
Baan Sukhumvit,25000,77,11-20,2023-09-24 14:23:00
IDEO Ladprao 5,22000,60,11-20,2023-09-24 14:23:00
Beatniq Sukhumvit 32,90000,43,21-30,2023-09-24 14:23:00
Baan Siri 31,32000,58,11-20,2023-09-24 14:23:00
Noble RE D,34000,55,21-30,2023-09-24 14:23:00
Fullerton,78000,105,21-30,2023-09-24 14:23:00
Premio Prime,9500,34,1-10,2023-09-24 14:23:00
Life Asoke - Rama 9,35000,58,21-30,2023-09-24 14:23:00
Belle Grand Rama 9,25000,42,1-10,2023-09-24 14:23:00
Chapter Charoennakhon - Riverside,17000,25,21-30,2023-09-24 14:23:00
U Delight 2 @ Bang Sue Station,13000,30,1-10,2023-09-24 14:23:00
Whizdom Connect Sukhumvit,16000,30,1-10,2023-09-24 14:23:00
Supalai Premier Charoen Nakhon,48000,86,11-20,2023-09-24 14:23:00
J Condo Sathorn-Kanlapaphruek,12000,32,11-20,2023-09-24 14:23:00
Hyde Sukhumvit 11,35000,53,11-20,2023-09-24 14:23:00
IDEO Mobi Rangnam,22000,35,11-20,2023-09-24 14:23:00
Metro Sky Bangsue - Prachachuen,12000,30,21-30,2023-09-24 14:23:00
Belle Grand Rama 9,33000,68,11-20,2023-09-24 14:23:00
Noble Reveal,28000,53,21-30,2023-09-24 14:23:00
Life One Wireless,30000,35,1-10,2023-09-24 14:23:00
Life Sukhumvit 48,19000,30,21-30,2023-09-24 14:23:00
NOBLE STATE 39,27800,50,11-20,2023-09-24 14:23:00
Regent Home Sukhumvit 81,10000,28,1-10,2023-09-24 14:23:00
THE LINE Phahonyothin Park,18000,37,1-10,2023-09-24 14:23:00
Life Sukhumvit 48,19500,35,1-10,2023-09-24 14:23:00
Beatniq Sukhumvit 32,150000,108,31-40,2023-09-24 14:23:00
Wish Signature  Midtown Siam,25000,35,11-20,2023-09-24 14:23:00
The Address Sathorn,33000,55,21-30,2023-09-24 14:23:00
Elio Del Nest,15000,32,1-10,2023-09-24 14:23:00
IDEO Sathorn - Thapra,12500,30,11-20,2023-09-24 14:23:00
Lumpini Park Vibhavadi - Chatuchak,14000,31,1-10,2023-09-24 14:23:00
IDEO Mobi Rama 9,25000,55,11-20,2023-09-24 14:22:00
The Coast Condominium,15000,40,11-20,2023-09-24 14:22:00
Ivy Thonglor,26000,42,21-30,2023-09-24 14:22:00
Happy Condo Ladprao 101,14000,36,1-10,2023-09-24 14:22:00
Baan Sathorn Chaopraya,19000,86,1-10,2023-09-24 14:22:00
Beatniq Sukhumvit 32,50000,44,11-20,2023-09-24 14:22:00
185 Ratchadamri,200000,160,11-20,2023-09-24 14:22:00
Rhythm  Ratchada,22000,45,1-10,2023-09-24 14:22:00
The Estelle Phrom Phong,75000,58,11-20,2023-09-24 14:22:00
IDEO Sukhumvit 93,20000,35,21-30,2023-09-24 14:22:00
Chewathai Residence Asoke,22000,35,1-10,2023-09-24 14:22:00
Niche Pride Thonglor-Phetchaburi,18000,34.8,21-30,2023-09-24 14:22:00
Rich Park @Taopoon Interchange,10000,30,21-30,2023-09-24 14:22:00
Ashton Chula - Silom,22000,26,31-40,2023-09-24 14:22:00
THE LINE Jatujak - Mochit,18500,35,21-30,2023-09-24 14:22:00
Wind Sukhumvit 23,24000,54,1-10,2023-09-24 14:22:00
Supalai Elite Sathorn - Suanplu,30000,51,11-20,2023-09-24 14:22:00
The Royal Place 1,160000,275,1-10,2023-09-24 14:22:00
Thru Thonglor,35000,62,1-10,2023-09-24 14:22:00
Happy Condo Ladprao 101,12000,37,1-10,2023-09-24 14:22:00
Life Sukhumvit 48,25000,47,11-20,2023-09-24 14:22:00
Urbitia Thong Lo,24000,35,1-10,2023-09-24 14:22:00
Noble BE 33,27000,35,1-10,2023-09-24 14:22:00
Lumpini Place Rama 4 - Kluaynamthai,11500,28,1-10,2023-09-24 14:22:00
Beatniq Sukhumvit 32,160000,103,21-30,2023-09-24 14:22:00
Whizdom Station Ratchada - Thapra,29000,48,21-30,2023-09-24 14:22:00
Nara 9,23000,39,21-30,2023-09-24 14:21:00
Noble Recole,48000,68,1-10,2023-09-24 14:21:00
XT PHAYATHAI,27000,49,11-20,2023-09-24 14:21:00
Zenith Place @ Sukhumvit,12000,35,1-10,2023-09-24 14:21:00
Noble Around Sukhumvit 33,20000,27,11-20,2023-09-24 14:21:00
Park 24,42000,58,21-30,2023-09-24 14:21:00
The Waterford Park Sukhumvit 53,45000,151,1-10,2023-09-24 14:21:00
Quattro by Sansiri,48000,55,11-20,2023-09-24 14:21:00
The Coast Condominium,19000,52,11-20,2023-09-24 14:21:00
The Bangkok Sukhumvit 61,50000,118,1-10,2023-09-24 14:21:00
Park 24,45000,60,1-10,2023-09-24 14:21:00
Magnolias Waterfront Residences,72500,62,11-20,2023-09-24 14:21:00
Diamond Ratchada,23000,60,21-30,2023-09-24 14:21:00
Metro Luxe Ratchada,18000,35,1-10,2023-09-24 14:21:00
The Address Sukhumvit 28,38000,53,11-20,2023-09-24 14:21:00
IDEO Mobi Bangsue Grand Interchange,13000,30,1-10,2023-09-24 14:21:00
IDEO Phaholyothin - Chatujak,15000,27,11-20,2023-09-24 14:21:00
O2 Hip,32000,50,1-10,2023-09-24 14:21:00
Wish Signature  Midtown Siam,40000,48,11-20,2023-09-24 14:21:00
The Origin Sukhumvit 105,9000,26,1-10,2023-09-24 14:21:00
The Seed Musee,25000,34,1-10,2023-09-24 14:21:00
IDEO Q Ratchathewi,20000,34,1-10,2023-09-24 14:21:00
39 by Sansiri,60000,80,11-20,2023-09-24 14:21:00
Rhythm Ratchada - Huai Khwang,20000,45,11-20,2023-09-24 14:21:00
The Address Asoke,45000,75,21-30,2023-09-24 14:21:00
CELES Asoke,42000,45,11-20,2023-09-24 14:21:00
Mirage Sukhumvit 27,20000,35,1-10,2023-09-24 14:21:00
Rhythm Sathorn,21000,35,11-20,2023-09-24 14:21:00
Blocs 77,17000,41,11-20,2023-09-24 14:21:00
Whizdom Essence Sukhumvit,32000,55,21-30,2023-09-24 14:21:00
Whizdom Avenue Ratchada - Ladprao,27000,58,1-10,2023-09-24 14:21:00
Eight Thonglor Residence,40000,55,11-20,2023-09-24 14:21:00
Life One Wireless,29000,35,11-20,2023-09-24 14:21:00
THE LINE Phahon - Pradipat,19000,35,31-40,2023-09-24 14:21:00
Saladaeng Residences,45000,65,1-10,2023-09-24 14:21:00
Somkid Gardens,120000,250,11-20,2023-09-24 14:21:00
Urbano Rajavithi,17000,31,21-30,2023-09-24 14:21:00
XT PHAYATHAI,22000,42,31-40,2023-09-24 14:21:00
The Lumpini 24,30000,38,1-10,2023-09-24 14:21:00
Centric Ari Station,25000,40,11-20,2023-09-24 14:21:00
Sathorn House,23000,54,31-40,2023-09-24 14:21:00
Edge Sukhumvit 23,26000,33,31-40,2023-09-24 14:20:00
Life Asoke Hype,24000,35,21-30,2023-09-24 14:20:00
Life Asoke,18000,30,11-20,2023-09-24 14:20:00
Chapter One Midtown Ladprao 24,17000,30,11-20,2023-09-24 14:20:00
Noble Revo Silom,20000,34,21-30,2023-09-24 14:20:00
Villa Sathorn,22000,56,11-20,2023-09-24 14:20:00
IDEO Mobi Sathorn,26500,43,1-10,2023-09-24 14:20:00
Baan Klang Krung Siam - Pathumwan,23000,55,1-10,2023-09-24 14:20:00
PG Rama IX,23000,72,1-10,2023-09-24 14:20:00
The Bangkok Sathorn - Taksin,32000,71,1-10,2023-09-24 14:20:00
Regent Home Sukhumvit 81,9500,28,1-10,2023-09-24 14:20:00
IDEO Rama 9 - Asoke,50000,52,31-40,2023-09-24 14:20:00
IDEO Ladprao 5,23000,60,11-20,2023-09-24 14:20:00
Siri On 8,40000,80,1-10,2023-09-24 14:20:00
Rhythm Ekkamai,60000,70,1-10,2023-09-24 14:20:00
The Lofts Ekkamai,80000,90,21-30,2023-09-24 14:20:00
Supalai Loft Yaek Fai Chai station,15500,47,11-20,2023-09-24 14:20:00
Condo One X Sukhumvit 26,20000,50,11-20,2023-09-24 14:20:00
Quattro by Sansiri,45000,55,11-20,2023-09-24 14:20:00
Bright Sukhumvit 24,40000,74,11-20,2023-09-24 14:20:00
Supalai Oriental Place Sathorn - Suanplu,13000,40,11-20,2023-09-24 14:20:00
IDEO Ladprao 5,14000,34,21-30,2023-09-24 14:20:00
Supalai Elite Sathorn - Suanplu,30000,51,21-30,2023-09-24 14:20:00
Blocs 77,30000,69,11-20,2023-09-24 14:20:00
Supalai Veranda Ratchavipha - Prachachuen,8000,31,11-20,2023-09-24 14:20:00
Menam Residences,30000,52,11-20,2023-09-24 14:20:00
FYNN Sukhumvit 31,35000,47,1-10,2023-09-24 14:20:00
Lumpini Suite Din Daeng - Ratchaprarop,16000,29,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,22.4,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,22.8,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,22900,44,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,12500,32,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,12000,32,1-10,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,12000,32,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,15000,32,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,11000,26,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,10000,23.5,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,1-10,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,11000,31.6,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,14000,32.5,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,9500,23,11-20,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,22000,44,1-10,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,10000,27,1-10,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,13500,26,21-30,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,15000,32,1-10,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,13000,33,1-10,2023-09-24 14:20:00
Knightsbridge Collage Ramkhamhaeng,12000,26,21-30,2023-09-24 14:20:00
Tree Condo Sukhumvit 42,20000,48,1-10,2023-09-24 14:19:00
The Mark Ratchada - Airport Link,20000,56,1-10,2023-09-24 14:19:00
Supalai Elite Phayathai,35000,61,21-30,2023-09-24 14:19:00
IDEO Q Victory,25000,35,11-20,2023-09-24 14:19:00
Klass Silom,38000,71,1-10,2023-09-24 14:19:00
Riverside Villa,65000,250,1-10,2023-09-24 14:19:00
Altitude Samyan - Silom,24000,37,1-10,2023-09-24 14:19:00
Nusasiri Grand,70000,135,11-20,2023-09-24 14:19:00
The LINE Asoke - Ratchada,20000,35,1-10,2023-09-24 14:19:00
The Privacy Rama 9,25000,46,11-20,2023-09-24 14:19:00
Quattro by Sansiri,50000,63,11-20,2023-09-24 14:19:00
The Address Siam,40000,84,21-30,2023-09-24 14:19:00
Rhythm Ekkamai,35000,35,11-20,2023-09-24 14:18:00
The Bangkok Sathon,45000,65,11-20,2023-09-24 14:18:00
Noble Ploenchit,50000,56,1-10,2023-09-24 14:18:00
A Space Play Ratchada - Sutthisarn,9500,33,1-10,2023-09-24 14:18:00
Klass Silom,50000,68,1-10,2023-09-24 14:18:00
The Issara Ladprao,28000,68,11-20,2023-09-24 14:18:00
Siamese Surawong,35000,61,11-20,2023-09-24 14:18:00
IDEO Rama 9 - Asoke,24000,35,1-10,2023-09-24 14:18:00
Grand Park View,20000,35,11-20,2023-09-24 14:18:00
Kraam Sukhumvit 26,60000,61,11-20,2023-09-24 14:18:00
Fullerton,80000,137,21-30,2023-09-24 14:18:00
Ashton Morph 38,38000,56,11-20,2023-09-24 14:18:00
Park 24,45000,55,21-30,2023-09-24 14:18:00
M Jatujak,19000,33,21-30,2023-09-24 14:18:00
The Monument Sanampao,43000,47,11-20,2023-09-24 14:18:00
Ashton Asoke - Rama 9,43000,43,21-30,2023-09-24 14:18:00
The Room Sukhumvit 69,20000,35,1-10,2023-09-24 14:18:00
Circle Condominium,20000,48,11-20,2023-09-24 14:18:00
Silk Sanampao,16000,47,1-10,2023-09-24 14:18:00
Life Sukhumvit 48,33000,60,21-30,2023-09-24 14:18:00
THE LINE Phahonyothin Park,20000,33,21-30,2023-09-24 14:18:00
CELES Asoke,270000,134,31-40,2023-09-24 14:18:00
Elio Del Moss Phaholyothin 34,14500,35,1-10,2023-09-24 14:18:00
The Rich Rama 9 - Srinakarin,22000,36,21-30,2023-09-24 14:18:00
Centric Scene Phaholyothin 9,22000,59,11-20,2023-09-24 14:18:00
Happy Condo Ladprao 101,12000,37,1-10,2023-09-24 14:18:00
Hasu Haus,18000,36,1-10,2023-09-24 14:18:00
Grand Langsuan,65000,170,21-30,2023-09-24 14:18:00
FYNN Asoke,26000,37,1-10,2023-09-24 14:18:00
The IRIS Rama 9 - Srinakarin,19000,64,1-10,2023-09-24 14:18:00
Menam Residences,90000,122,31-40,2023-09-24 14:17:00
Ashton Asoke,30000,31,31-40,2023-09-24 14:17:00
The Key Sathorn - Charoenrat,30000,55,31-40,2023-09-24 14:17:00
Amanta Ratchada,33000,83,1-10,2023-09-24 14:17:00
The Prime Suites,16000,35,1-10,2023-09-24 14:17:00
Diamond Ratchada,14000,35,21-30,2023-09-24 14:17:00
Beatniq Sukhumvit 32,100000,83,11-20,2023-09-24 14:17:00
Supalai Casa Riva,12000,44,11-20,2023-09-24 14:17:00
Residence 52,43000,87,1-10,2023-09-24 14:17:00
Hyde Sukhumvit,50000,73,1-10,2023-09-24 14:17:00
Metro Luxe Ratchada,17000,38,1-10,2023-09-24 14:17:00
Hyde Sukhumvit,25000,31,1-10,2023-09-24 14:17:00
The Tree Onnut Station,22000,40,1-10,2023-09-24 14:17:00
Ashton Chula - Silom,55000,55,41-50,2023-09-24 14:17:00
Via 49,26900,46,1-10,2023-09-24 14:17:00
Noble Remix,28000,40,11-20,2023-09-24 14:17:00
M Jatujak,19000,32,1-10,2023-09-24 14:17:00
Lumpini Place Srinakarin - Huamark Station,20000,57,11-20,2023-09-24 14:17:00
IDEO Mobi Bangsue Grand Interchange,25000,48,21-30,2023-09-24 14:17:00
Supalai Park Ratchayothin,25000,67,21-30,2023-09-24 14:17:00
Circle Condominium,35000,75,21-30,2023-09-24 14:17:00
Lumpini Suite Sukhumvit 41,30000,74,1-10,2023-09-24 14:17:00
Knightsbridge Prime Sathorn,25000,37,21-30,2023-09-24 14:17:00
Chapter One Eco Ratchada - Huai Khwang,16000,30,1-10,2023-09-24 14:17:00
Fullerton,75000,105,11-20,2023-09-24 14:17:00
KAWA HAUS,20000,35,1-10,2023-09-24 14:17:00
Knightsbridge Space Ratchayothin,23000,27,11-20,2023-09-24 14:17:00
PG Rama IX,12000,45,11-20,2023-09-24 14:17:00
IDEO Mobi Sukhumvit,13000,22,11-20,2023-09-24 14:17:00
Acadamia Grand Tower,60000,163,11-20,2023-09-24 14:17:00
The Parco Sathorn,90000,156,21-30,2023-09-24 14:17:00
Aspire Sukhumvit 48,15000,38,21-30,2023-09-24 14:17:00
Life Sukhumvit 48,17000,33,21-30,2023-09-24 14:17:00
Equinox,18000,40,31-40,2023-09-24 14:17:00
Whizdom Connect Sukhumvit,23000,38,21-30,2023-09-24 14:17:00
Beatniq Sukhumvit 32,62000,60,1-10,2023-09-24 14:17:00
The Privacy Ladprao - Sena,15000,45,1-10,2023-09-24 14:17:00
Aspire Sukhumvit 48,28000,65,1-10,2023-09-24 14:17:00
Noble Solo,40000,70,1-10,2023-09-24 14:17:00
DLV Thonglor 20,27000,59,1-10,2023-09-24 14:17:00
Condo One Thonglor Station,15000,30,1-10,2023-09-24 14:17:00
IDEO Mix Sukhumvit 103,10000,30,1-10,2023-09-24 14:17:00
IDEO Q Siam - Ratchathewi,28000,34,11-20,2023-09-24 14:17:00
Chapter Charoennakhon - Riverside,16000,26,21-30,2023-09-24 14:17:00
Sky Walk Residence,40000,54,21-30,2023-09-24 14:17:00
Ashton Silom,80000,86,11-20,2023-09-24 14:17:00
Noble Ploenchit,35000,45,21-30,2023-09-24 14:17:00
CLOUD Thonglor - Phetchaburi,17000,28,31-40,2023-09-24 14:17:00
The Bloom Sukhumvit 71,38000,89,1-10,2023-09-24 14:17:00
Beatniq Sukhumvit 32,120000,83,21-30,2023-09-24 14:17:00
Life One Wireless,19500,24,31-40,2023-09-24 14:16:00
Noble Ploenchit,190000,181,31-40,2023-09-24 14:16:00
Noble Ploenchit,45000,48,1-10,2023-09-24 14:16:00
Q Chidlom - Phetchaburi,55000,64,21-30,2023-09-24 14:16:00
Nusasiri Grand,63000,126,21-30,2023-09-24 14:16:00
Rhythm Sukhumvit 36 - 38,15000,25,11-20,2023-09-24 14:16:00
The Trendy Condominium,16000,36,1-10,2023-09-24 14:15:00
Rhythm Sukhumvit 42,35000,48,11-20,2023-09-24 14:15:00
H Sukhumvit 43,55000,59,11-20,2023-09-24 14:15:00
The Lumpini 24,25000,38,1-10,2023-09-24 14:15:00
Happy Condo Ladprao 101,11000,37,1-10,2023-09-24 14:15:00
Quintara Treehaus Sukhumvit 42,23000,40,1-10,2023-09-24 14:15:00
The Address Siam,35000,72,1-10,2023-09-24 14:15:00
Life Asoke - Rama 9,21000,33,1-10,2023-09-24 14:15:00
Liv@49,24000,40,1-10,2023-09-24 14:15:00
Baan Chao Praya,25000,70,21-30,2023-09-24 14:15:00
Q House Sathorn,25000,65,11-20,2023-09-24 14:15:00
Mueng Thai-patara Complex,25000,88,11-20,2023-09-24 14:15:00
Hive Sathorn,17000,49,11-20,2023-09-24 14:15:00
Srivara Mansion,8000,40,11-20,2023-09-24 14:15:00
Saladaeng Residences,55000,101,11-20,2023-09-24 14:15:00
Ashton Asoke,34000,35,21-30,2023-09-24 14:15:00
Aspire Ngamwongwan,9000,28,11-20,2023-09-24 14:15:00
IDEO Q Ratchathewi,20000,37,21-30,2023-09-24 14:15:00
Condolette Dwell Sukhumvit 26,20000,35,1-10,2023-09-24 14:15:00
Elio Del Ray,11000,26,1-10,2023-09-24 14:15:00
Noble Refine,30000,52,11-20,2023-09-24 14:15:00
Star View,38000,78,31-40,2023-09-24 14:15:00
Noble Refine,38000,52,1-10,2023-09-24 14:15:00
KAWA HAUS,37000,51,1-10,2023-09-24 14:15:00
IDEO Ladprao 5,18000,38,21-30,2023-09-24 14:15:00
Wish @ Samyan,22000,38,21-30,2023-09-24 14:15:00
MARU EKKAMAI 2,45000,43,21-30,2023-09-24 14:15:00
Life One Wireless,30000,35,11-20,2023-09-24 14:15:00
XT HUAIKWANG,19000,35,1-10,2023-09-24 14:15:00
Lumpini Suite Phetchaburi - Makkasan,25000,43,1-10,2023-09-24 14:15:00
Aspire Sathorn - Thapra,13000,30,11-20,2023-09-24 14:15:00
Noble Refine,33000,52,11-20,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,11000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9000,28.5,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,10000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9500,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,11000,29,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,10000,28,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,8500,28.5,1-10,2023-09-24 14:15:00
Regent Home Sukhumvit 81,9000,29,1-10,2023-09-24 14:15:00
Aspire Sathorn - Thapra,12000,30,11-20,2023-09-24 14:15:00
THE LINE Phahonyothin Park,15000,32,11-20,2023-09-24 14:15:00
XT EKKAMAI,19000,31.5,11-20,2023-09-24 14:15:00
Mayfair Place Sukhumvit 50,13000,29.8,11-20,2023-09-24 14:15:00
THE PRIVACY S101,17000,35,1-10,2023-09-24 14:15:00
