Property Name,Rent Prices,Room size,Floor,Date
THE LINE Jatujak - Mochit,15000,27,11-20,2023-09-15 12:02:00
The Stage Taopoon Interchange,10000,26,31-40,2023-09-20 9:44:00
The Privacy Thaphra Interchange,12000,25,11-20,2023-08-18 15:43:00
U Delight Residence Riverfront Rama 3,11000,34,21-30,2023-09-23 14:47:00
Lumpini Park Phetkasem 98,6500,27,11-20,2023-09-21 11:41:00
UNiO Sukhumvit 72,7000,23,1-10,2023-09-13 15:00:00
IDEO Mobi Sukhumvit,14900,31,1-10,2023-09-16 12:39:00
IDEO Q Sukhumvit 36,40000,45,11-20,2023-09-16 11:00:00
Sky Walk Residence,45000,98,31-40,2023-09-22 14:53:00
Lumpini Ville Ratburana - Riverview,6900,26,1-10,2023-09-23 14:47:00
Unio Ramkhamhaeng - Serithai,7500,27,1-10,2023-03-09 8:39:00
MODIZ Sukhumvit 50,12000,25,1-10,2023-09-16 12:39:00
The Base Phetkasem,9000,25,21-30,2023-09-13 15:00:00
Nue Noble Srinakarin - Lasalle,8500,27,1-10,2023-07-09 10:19:00
THE LINE Sukhumvit 101,14000,28,11-20,2023-05-31 23:01:00
Elio Del Nest,13000,31,11-20,2023-05-31 23:01:00
ISSI Condo Suksawat,7000,25,11-20,2023-05-31 23:01:00
IDEO Mix Sukhumvit 103,10500,31,1-10,2023-06-30 18:07:00
Life One Wireless,18000,28,1-10,2023-09-21 22:51:00
Lumpini Ville On Nut - Lat Krabang,6500,26,1-10,2023-09-19 7:48:00
Unio Rama 2 - Thakham,6000,23,1-10,2023-03-09 8:39:00
XT EKKAMAI,18000,33,31-40,2023-01-03 23:19:00
Elio Del Ray,9000,27,1-10,2023-08-21 10:20:00
The Excel Hideaway Sukhumvit 50,9000,25,1-10,2023-09-16 12:39:00
Lumpini Park Rama 9 - Ratchada,10000,23,1-10,2023-12-09 15:55:00
Life One Wireless,18000,28,31-40,2023-04-08 21:00:00
THE MUVE Ram 22,8500,24.5,1-10,2023-05-22 13:55:00
Aspire Rama 4,10000,29,11-20,2023-09-23 14:47:00
Wish Signature  Midtown Siam,20000,35,11-20,2023-09-15 6:00:00
Whizdom Connect Sukhumvit,14500,30,21-30,2023-12-09 15:58:00
Knightsbridge Prime Sathorn,18000,24,21-30,2023-09-23 21:01:00
Life Ladprao,14000,26,21-30,2023-09-23 14:47:00
Life Asoke,16000,27,31-40,2023-07-04 10:08:00
THE MUVE Bangna,8500,25,1-10,2023-08-23 15:00:00
Lumpini Place Bangna Km.3,7500,26,1-10,2023-12-09 15:55:00
Lumpini Place Suksawat - Rama 2,6900,26,21-30,2023-09-23 14:47:00
Chapter One Modern Dutch,7000,29,1-10,2023-09-23 14:47:00
IDEO Mobi Sukhumvit Eastgate,9000,22,11-20,2023-09-23 14:47:00
Altitude Unicorn Sathorn - Thapra,13000,24,11-20,2023-09-23 14:47:00
Bangkok Horizon Lite @ Phekasem 48 Station,8000,25,1-10,2023-09-23 14:47:00
XT PHAYATHAI,21000,40.5,11-20,2023-09-14 11:30:00
Denim Jatujak,13000,27,11-20,2023-08-15 15:41:00
Chapter One Eco Ratchada - Huai Khwang,10000,30,11-20,2023-09-23 14:47:00
IDEO Sukhumvit 93,13500,26,31-40,2023-05-31 23:01:00
The Base Sukhumvit 77,13500,31,11-20,2023-08-21 16:57:00
The Alcove Thonglor 10,22900,41,11-20,2023-09-23 14:47:00
Centric Sathorn - Saint Louis,17000,35.6,11-20,2023-05-30 16:05:00
The Nest Sukhumvit 22,15000,25,1-10,2023-09-20 9:43:00
OKA HAUS Sukhumvit 36,18000,34,11-20,2023-06-09 15:00:00
Lumpini Park Riverside Rama 3,8500,30,21-30,2023-05-30 16:05:00
Sky Walk Residence,28000,55,21-30,2023-09-15 9:24:00
Lumpini Ville Chaengwatthana 10,6500,24.2,1-10,2023-09-23 16:36:00
The Residences at Sindhorn Kempinski Hotel Bangkok,140000,99,1-10,2023-09-13 18:00:00
Rhythm Ratchada - Huai Khwang,31000,55,21-30,2023-09-23 10:40:00
Siri Residence,32000,60.2,21-30,2023-09-17 9:04:00
Magnolias Waterfront Residences,85000,103,1-10,2023-09-13 18:00:00
Elio Del Ray,7500,26,1-10,2023-09-21 13:31:00
HQ Thonglor,40000,50,11-20,2023-09-20 18:11:00
Ashton Asoke,30000,37,31-40,2023-09-15 9:03:00
We Condo Ekkamai-Raminthra,9000,34,1-10,2023-09-21 9:46:00
The Residences at Sindhorn Kempinski Hotel Bangkok,380000,215,11-20,2023-09-14 14:21:00
Q House Condo Sukhumvit 79,32000,60,1-10,2023-09-23 12:12:00
Sky Walk Residence,27000,60,1-10,2023-09-13 18:00:00
Magnolias Waterfront Residences,180000,174,1-10,2023-09-13 9:03:00
The Base Park West Sukhumvit 77,13000,27,21-30,2023-09-19 10:59:00
Life Asoke Hype,23000,35,21-30,2023-09-23 14:20:00
Whizdom Essence Sukhumvit,35000,55,11-20,2023-08-22 10:14:00
28 Chidlom,45000,45,11-20,2023-09-20 20:20:00
Niche Mono Sukhumvit - Bearing,9500,28,21-30,2022-10-25 19:00:00
Elio Condo,7000,22,1-10,2023-05-31 23:01:00
IDEO Mobi Rama 9,11000,22,11-20,2023-09-23 14:47:00
REACH Phahon Yothin 52,7500,30,1-10,2023-09-15 14:05:00
The Tree Pattanakarn - Ekkamai,12000,27,11-20,2023-12-09 15:58:00
THE LINE Sukhumvit 101,15000,28,1-10,2023-09-17 13:03:00
Lumpini Ville Latphrao - Chokchai 4,8000,29,11-20,2023-09-23 14:47:00
IDEO Morph 38,25000,35,1-10,2023-08-20 15:23:00
One9Five Asoke - Rama 9,25000,37,31-40,2023-09-24 7:34:00
Aspen Lasalle,7000,24,1-10,2023-12-07 15:00:00
The Met Sathorn,80000,198,21-30,2023-09-13 9:03:00
The Met Sathorn,120000,194,51-60,2023-09-14 14:08:00
The Cube Plus Minburi,7000,25,1-10,2023-09-19 21:00:00
Modiz Rhyme Ramkhamhaeng,12000,26.1,1-10,2023-08-23 15:00:00
Atmoz Bangna,13000,26.2,1-10,2023-09-17 20:30:00
Domus 18,145000,212,1-10,2022-11-25 8:00:00
C Ekkamai,15000,32,21-30,2023-09-21 11:00:00
Siri Residence,68000,94.8,1-10,2023-09-13 18:00:00
Life @ Sukhumvit 65,15000,30,11-20,2023-09-09 10:50:00
Park Village Onnut - Suvarnabhumi,13400,56,1-10,2023-09-19 14:39:00
iCondo Serithai Green Space,8000,27.5,1-10,2023-09-22 1:50:00
The Saint Residences,12000,31,21-30,2023-09-14 14:25:00
Sky Walk Residence,40000,85,41-50,2023-11-09 17:13:00
Ashton Asoke - Rama 9,28000,35.2,21-30,2023-09-21 15:05:00
M Ladprao,23000,36,21-30,2023-09-23 17:56:00
Elio Del Nest,13000,31,1-10,2023-09-23 12:15:00
Noble Revolve Ratchada,15000,26,21-30,2023-09-24 10:31:00
Lumpini Park Nawamin - Si Burapha,6190,23,11-20,2023-09-18 20:12:00
Life Asoke,30000,55,11-20,2022-06-09 14:03:00
Regent Home Bangson Phase 28,16000,56,21-30,2023-09-23 23:33:00
We Condo Ekkamai-Raminthra,9500,34,1-10,2023-09-21 9:46:00
Regent Home 27 Bangson,7500,28,11-20,2023-09-23 11:32:00
Life Asoke,16000,30,1-10,2022-08-22 13:42:00
Circle Condominium,19000,47.6,11-20,2023-09-24 10:55:00
Park Village Onnut - Suvarnabhumi,25000,97,1-10,2023-09-19 14:39:00
U Delight Residence Riverfront Rama 3,14000,34,21-30,2023-09-24 10:16:00
Happy Condo Ladprao 101,16000,64,1-10,2023-09-22 3:20:00
PARK ORIGIN PHROM PHONG,21000,26,1-10,2023-09-15 13:45:00
Ramada plaza residence,24000,44,11-20,2023-08-31 23:06:00
IDEO Mobi Sukhumvit,14500,30,1-10,2023-09-23 12:12:00
U Sabai Rama 4 - Kluaynamthai,15000,36,1-10,2023-09-24 11:12:00
